NRGSTREAM Multiple Streams Extract as of: 17-Jul-2018 08:36:58 Static Extraction Range from  01-Jun-2007 00:00:00 to 01-Jul-2018 00:00:00,,,,,,,
PJM - DA Operating Reserve Rate,,,,,,,
PJM - East Bal Operating Reserve for Deviations RT Rate,,,,,,,
PJM - East Bal Operating Reserve for Reliability RT Rate,,,,,,,
PJM - RTO Bal Operating Reserve for Deviations RT Rate,,,,,,,
PJM - RTO Bal Operating Reserve for Reliability RT Rate,,,,,,,
PJM - West Bal Operating Reserve for Deviations RT Rate,,,,,,,
PJM - West Bal Operating Reserve for Reliability RT Rate,,,,,,,
,,,,,,,
Number of records returned has been adjusted based on user settings or available data.,,,,,,,
,,,,,,,
Effective Date,PJM - DA Operating Reserve Rate Price USD/MWh,PJM - East Bal Operating Reserve for Deviations RT Rate Price USD/MWh,PJM - East Bal Operating Reserve for Reliability RT Rate Price USD/MWh,PJM - RTO Bal Operating Reserve for Deviations RT Rate Price USD/MWh,PJM - RTO Bal Operating Reserve for Reliability RT Rate Price USD/MWh,PJM - West Bal Operating Reserve for Deviations RT Rate Price USD/MWh,PJM - West Bal Operating Reserve for Reliability RT Rate Price USD/MWh
3/17/2013 0:00,0.07717,0,0,0.470137,0.006168,0,0
3/18/2013 0:00,0.072927,0.531273,0,2.303191,0.008852,0,0
3/19/2013 0:00,0.033937,0.215326,0.000754,2.413331,0.018843,0.158906,0
3/20/2013 0:00,0.026998,0.790603,0,3.817813,0.040454,0,0
3/21/2013 0:00,0.014629,1.594875,0.047523,3.512882,0.009006,0,0
3/22/2013 0:00,0.106617,0.630041,0.02717,2.630924,0.018283,0,0
3/23/2013 0:00,0.15631,0.036732,0,0.801191,0.062929,0,0
3/24/2013 0:00,0.217844,0.059664,0,0.788793,0.017229,0,0
3/25/2013 0:00,0.151657,0,0,0.802224,0.001358,0,0
3/26/2013 0:00,0.043728,0,0,0.732761,0.038986,0,0
3/27/2013 0:00,0.107392,0,0,0.49842,0.030766,0,0
3/28/2013 0:00,0.071279,0.911427,0.008724,0.405832,0.007838,0.036542,0
3/29/2013 0:00,0.183686,0.180546,0,0.763826,0.064615,0,0
3/30/2013 0:00,0.151329,0.232544,0,0.523482,0.069171,0,0
3/31/2013 0:00,0.204259,0,0,0.023549,0.181088,0,0
4/1/2013 0:00,0.105219,0.095247,0,0.336961,0.011043,0,0
4/2/2013 0:00,0.165905,0.731644,0.000466,4.129909,0.020388,0,0
4/3/2013 0:00,0.206124,4.381951,0.001483,6.221929,0.020763,0.09746,0.000486
4/4/2013 0:00,0.100519,4.706357,0.024102,2.21283,0.002745,0.020715,0.001485
4/5/2013 0:00,0.102902,0.140444,0,2.133264,0.003796,0.0075,0
4/6/2013 0:00,0.062053,2.925423,0,0.926422,0.002617,0,0
4/7/2013 0:00,0.103643,0.853379,0,0.866676,0.264738,0,0
4/8/2013 0:00,0.034462,1.295637,0,1.849167,0.003424,0,0
4/9/2013 0:00,0.048987,1.679367,0,1.527074,0.007976,0.185345,0
4/10/2013 0:00,0.054605,8.804277,0.248288,4.121276,0.061134,0,0
4/11/2013 0:00,0.039475,2.055619,0.215609,1.602865,0.017282,0.026353,0.027203
4/12/2013 0:00,0.023003,0.813619,0,1.488072,0.025222,0.050664,0
4/13/2013 0:00,0.051704,3.452315,0,0.906282,0.002072,0,0
4/14/2013 0:00,0.11138,0.069182,0,1.328466,0.029744,0,0
4/15/2013 0:00,0.021243,0,0,1.204431,0.009014,0,0
4/16/2013 0:00,0.064254,0.252836,0.01244,1.61101,0.006859,0.093442,0
4/17/2013 0:00,0.101394,1.059841,0.148382,2.105318,0.009846,0,0
4/18/2013 0:00,0.082105,1.421977,0,0.65142,0.061198,0,0
4/19/2013 0:00,0.112309,0.31,0.011278,1.469783,0.008931,0,0.074633
4/20/2013 0:00,0.212584,0.572719,0,0.655117,0.046304,0,0.125135
4/21/2013 0:00,0.261888,0.225558,0,0.19029,0.159702,0,0.062506
4/22/2013 0:00,0.075871,1.582462,0,0.930714,0.000389,0,0
4/23/2013 0:00,0.187634,0.144415,0,0.683677,0.036019,0,0.004036
4/24/2013 0:00,0.077537,1.899081,0,0.580679,0.036743,0,0
4/25/2013 0:00,0.051971,2.222531,0,0.262059,0.06928,0,0
4/26/2013 0:00,0.08942,0,0,1.448954,0.076234,0,0
4/27/2013 0:00,0.077213,0.032025,0,0.843208,0.022501,0,0
4/28/2013 0:00,0.118516,0,0,1.077228,0.008994,0,0
4/29/2013 0:00,0.060013,0,0,1.473449,0.011565,0,0
4/30/2013 0:00,0.084418,0,0,1.084942,0.031361,0,0
5/1/2013 0:00,0.095793,0.008679,0,2.336739,0.000681,1.330663,0.062962
5/2/2013 0:00,0.14795,0.011163,0.005174,1.629354,0,0,0
5/3/2013 0:00,0.068422,0,0,1.141167,0.005188,0.754412,0
5/4/2013 0:00,0.083278,0.158543,0,0.932579,0.001045,0.24792,0.036233
5/5/2013 0:00,0.113916,0.279806,0,0.050103,0.136143,0,0
5/6/2013 0:00,0.055498,0.066508,0,0.418544,0.01099,0,0
5/7/2013 0:00,0.018289,2.531649,0.159368,0.823547,0.004213,0,0
5/8/2013 0:00,0.02862,0,0,0.705416,0.03837,0,0
5/9/2013 0:00,0.044098,0.195574,0,1.077472,0.055574,0,0
5/10/2013 0:00,0.004054,0.025977,0.076268,1.430793,0.003175,0,0
5/11/2013 0:00,0.092095,0,0,1.844793,0.037077,0,0
5/12/2013 0:00,0.113429,0,0,0.605277,0.023806,0,0
5/13/2013 0:00,0.041286,0,0,0.404899,0.12749,0,0
5/14/2013 0:00,0.031534,0,0,0.963793,0.010555,0.271967,0
5/15/2013 0:00,0.072324,0.636647,0.042714,1.665699,0.014276,0.001678,0.005885
5/16/2013 0:00,0.062285,0.337348,0,2.70458,0.019528,0,0
5/17/2013 0:00,0.107997,0.535553,0.015646,3.500128,0.05664,0,0
5/18/2013 0:00,0.073377,0,0,0.360452,0.034371,0,0
5/19/2013 0:00,0.126292,0,0,0.588973,0.026493,0,0
5/20/2013 0:00,0.073649,0.610341,0.038012,2.675616,0.014752,0.242131,0
5/21/2013 0:00,0.164877,0.187962,0,3.436921,0.035412,0.098406,0
5/22/2013 0:00,0.13117,0.597831,0.027153,2.264894,0.04195,0.277381,0.00024
5/23/2013 0:00,0.07978,0.047641,0.016586,1.413684,0.051512,0.471191,0.028084
5/24/2013 0:00,0.0876,0.190094,0,0.256407,0.105342,0.384111,0.005435
5/25/2013 0:00,0.12077,0,0,0.685195,0.190141,0,0
5/26/2013 0:00,0.127904,0,0,0.51703,0.197411,0,0.020292
5/27/2013 0:00,0.104008,0,0,1.144798,0.081285,0,0
5/28/2013 0:00,0.121028,1.384674,0.097852,1.673891,0.009483,0,0
5/29/2013 0:00,0.112748,0.02975,0,2.376214,0.052402,2.096994,0
5/30/2013 0:00,0.120835,0.062178,0,3.017293,0.093571,1.509206,0.014922
5/31/2013 0:00,0.013563,0.089189,0.008155,2.557181,0.095376,1.714118,0
6/1/2013 0:00,0.14555,0.020618,0.006857,0.758673,0.031807,1.470361,0
6/2/2013 0:00,0.144389,0,0,0.395533,0.054752,0,0
6/3/2013 0:00,0.122981,0.48959,0,0.642972,0.007442,0.017973,0.007706
6/4/2013 0:00,0.096327,0.095964,0.004024,0.809925,0.020467,0.191929,0.010699
6/5/2013 0:00,0.11232,0,0,1.012395,0.009279,0,0
6/6/2013 0:00,0.130865,0,0,0.69482,0.027038,0,0
6/7/2013 0:00,0.133019,0,0,0.408623,0.032774,0,0
6/8/2013 0:00,0.187119,0,0,0.651415,0.056226,0,0
6/9/2013 0:00,0.106855,0,0,0.579624,0.032795,0,0
6/10/2013 0:00,0.108542,0.146159,0.006999,0.490521,0.05215,0,0
6/11/2013 0:00,0.088084,0.303383,0.012573,3.026124,0.021,0.404601,0
